date,01-unknown,01-unknown-cumulative,02-export-tenths-watt,02-export-tenths-watt-cumulative,03-unknown,03-unknown-cumulative,04-unknown,04-unknown-cumulative,09-unknown,09-unknown-cumulative,10-also-export-tenths-watt,10-also-export-tenths-watt-cumulative,13-unknown,14-unknown,21-unknown,21-unknown-cumulative,22-unknown,22-unknown-cumulative,23-unknown,23-unknown-cumulative,24-unknown,24-unknown-cumulative,29-unknown,29-unknown-cumulative,30-unknown,30-unknown-cumulative,31-unknown,32-unknown,33-unknown,36864-unknown,41-unknown,41-unknown-cumulative,42-unknown,42-unknown-cumulative,43-unknown,43-unknown-cumulative,44-unknown,44-unknown-cumulative,49-unknown,49-unknown-cumulative,50-unknown,50-unknown-cumulative,51-unknown,52-unknown,53-unknown,61-unknown,61-unknown-cumulative,62-unknown,62-unknown-cumulative,63-unknown,63-unknown-cumulative,64-unknown,64-unknown-cumulative,69-unknown,69-unknown-cumulative,70-unknown,70-unknown-cumulative,71-unknown,72-unknown,73-unknown,uptime-millis
2023-06-04 09:22:00.919180,0,63068109480,72075,53586905760,3578,25736188320,0,13824281520,0,75456350280,72164,58367521440,999,50028,0,30291592680,25168,20798728200,2254,14019451920,0,1214175600,0,33096908160,25268,22109272560,10707,236094,996,0,0,24967402560,26448,23200530840,809,8865029520,0,7048371240,0,30005929800,26461,23872904640,11003,240553,1000,0,22961136240,20459,24739671240,515,5568364800,0,8278391520,0,28122132600,20466,25344501120,8547,240766,1000,2243340870
2023-06-04 09:23:00.901427,0,63068109480,76719,53587324800,13093,25736236920,0,13824281520,0,75456350280,77828,58367943720,986,50028,0,30291592680,25504,20798875800,3111,14019468120,0,1214175600,0,33096908160,25693,22109421600,10902,235775,993,0,0,24967402560,25306,23200682760,8988,8865056880,0,7048371240,0,30005929800,26854,23873060520,11179,242885,942,0,22961136240,25909,24739790400,994,5568369840,0,8278391520,0,28122132600,25928,25344620280,10828,240152,999,2243400850
2023-06-04 09:24:00.891644,0,63068109480,70159,53587743840,4228,25736299560,0,13824281520,0,75456350280,70286,58368368880,998,50010,0,30291592680,22647,20799015120,2737,14019484680,0,1214175600,0,33096908160,22811,22109561640,9734,234443,993,0,0,24967402560,24489,23200821720,900,8865099360,0,7048371240,0,30005929800,24505,23873208840,10019,244676,999,0,22961136240,23023,24739931520,591,5568373800,0,8278391880,0,28122132600,23031,25344761760,9641,239794,1000,2243460840
2023-06-04 09:25:00.881380,0,63068109480,72599,53588162880,3670,25736371560,0,13824281520,0,75456350280,72692,58368795120,999,50017,0,30291592680,23424,20799154800,2558,14019502320,0,1214175600,0,33096908160,23564,22109702400,10061,234319,994,0,0,24967402560,25298,23200959600,734,8865147960,0,7048371240,0,30005929800,25309,23873358960,10352,244580,1000,0,22961136240,23877,24740073000,378,5568378840,0,8278391880,0,28122132600,23880,25344903240,9990,239869,1000,2243520830
2023-06-04 09:26:00.861506,0,63068109480,73242,53588582280,4186,25736435640,0,13824281520,0,75456350280,73362,58369220640,998,50014,0,30291592680,23459,20799293400,2744,14019517800,0,1214175600,0,33096908160,23619,22109841720,10069,234676,993,0,0,24967402560,25624,23201098200,876,8865194400,0,7048371240,0,30005929800,25639,23873509080,10481,244692,999,0,22961136240,24159,24740214840,566,5568381360,0,8278391880,0,28122132600,24166,25345045080,10114,239752,1000,2243580811
2023-06-04 09:27:00.851231,0,63068109480,70018,53589000600,5278,25736496480,0,13824281520,0,75456350280,70216,58369644720,997,50051,0,30291592680,24729,20799438480,2892,14019534720,0,1214175600,0,33096908160,24898,22109987880,10536,236403,993,0,0,24967402560,25724,23201245080,1320,8865232560,0,7048371240,0,30005929800,25758,23873664600,10540,244474,999,0,22961136240,19565,24740341200,1066,5568387120,0,8278391880,0,28122132600,19594,25345171800,8297,237392,999,2243640800
2023-06-04 09:28:00.841957,0,63068109480,68692,53589420360,8150,25736544360,0,13824281520,0,75456350280,69174,58370067720,993,50058,0,30291592680,23874,20799585360,3061,14019552360,0,1214175600,0,33096908160,24070,22110135840,10197,236196,992,0,0,24967402560,25473,23201399160,3903,8865256680,0,7048371240,0,30005929800,25770,23873821560,10568,244455,988,0,22961136240,19344,24740460000,1186,5568393240,0,8278391880,0,28122132600,19381,25345290600,8201,237815,998,2243700790
2023-06-04 09:29:00.822060,0,63068109480,69741,53589839760,6215,25736591880,0,13824281520,0,75456350280,70017,58370490000,996,50035,0,30291592680,23732,20799729360,2791,14019569640,0,1214175600,0,33096908160,23896,22110281280,10167,235199,993,0,0,24967402560,26181,23201554680,2577,8865281160,0,7048371240,0,30005929800,26308,23873979960,10778,244610,995,0,22961136240,19828,24740579880,848,5568399000,0,8278391880,0,28122132600,19846,25345410480,8393,237881,999,2243760770
2023-06-04 09:30:00.811973,0,63068109480,71429,53590260960,11899,25736639760,0,13824281520,0,75456350280,72414,58370914440,986,50042,0,30291592680,23668,20799875160,2375,14019584760,0,1214175600,0,33096908160,23787,22110427440,10100,235635,995,0,0,24967402560,23691,23201708760,9058,8865310320,0,7048371240,0,30005929800,25363,23874137280,10556,243645,934,0,22961136240,24070,24740701200,467,5568402960,0,8278391880,0,28122132600,24074,25345532160,10143,238135,1000,2243820760
2023-06-04 09:31:00.801169,0,63068109480,68199,53590679640,12253,25736686920,0,13824281520,0,75456350280,69291,58371336000,984,50033,0,30291592680,22490,20800011240,2727,14019600960,0,1214175600,0,33096908160,22654,22110564960,9661,234619,993,0,0,24967402560,22664,23201851680,8788,8865336600,0,7048371240,0,30005929800,24308,23874283800,10100,243833,932,0,22961136240,23045,24740840880,738,5568407280,0,8278391880,0,28122132600,23057,25345671840,9643,239991,999,2243880750
